placa,old_tag,nomecomum,codigo,genero,especie,familia,subfamilia,densidade,inv,area,parcela,quadra,nsdist,linha,lo,lodist,recruit,data_morta,altura,altura_1,dap.04,mv.04,data04,am_f4.x,pq_f4.x,obs.04,am_f4.y,pq_f4.y,obs_cic4,c.05,mv.05,obs.05,am_f5,pq_f5,obs_cic5,data_cic5,data05,c.06,mv.06,obs.06,am_f6,pq_f6,obs_cic6,obs_m066,data_cic6,data_m066,data06,dap.07,c.07,mv.07,obs.07,data07,nova_placa.07,c07p,am_f7,pq_f7,caidape_c07p,obs_c07p,data_c07p,dap.08,c.08,mv.08,obs.08,data08,c.09,mv.09,obs_c09,cicat.09,Rec.09,am_f9,pq_f9,obs_cic9,data_cic9,qt_f9,data09,dap.10,c.10,mv.10,obs.10,data10,dap.11,c.11,mv.11,obs.11,data11,dap.12,c.12,mv.12,obs.12,data12,dap.14,c.14,mv.14,obs.14,data14,dap.16,c.16,mv.16,obs.16,data16,dap.18,c.18,mv.18,obs.18,data18,dap.22,mv.22,c.22,obs.22,alt22,data22,equipe.22,dap.24,c.24,mv.24,obs.24,data24,equipe.24
5225,,mangabinha,Micege,Micropholis,egensis (A. DC.) Pierre,Sapotaceae,,0.6,40,1,B,6,276,16,O,3,i04,2004,3,3,57.4,m,01_09_2004,NQ,,Altura 3m,,,NQ,0,m,,,,,,08_09_2005,0,m,,,,,,,,14_08_2006,,0,m,,18_07_2007,,0,0,100,,qt,13_09_2007,,0,m,morta,07_08_2008,0,m,,0,0,,,,10_09_2009,,05_08_2009,,0,m,m,08_07_2010,,0,m,morta,07_09_2011,,0,m,morta,12_08_2012,,0,m,m,29_07_2014,,0,m,,29_09_2016,,0,m,,16_07_2018,,m,0,,,01_08_2022,,,0,m,,23_06_2024,
5226,,fava_orelha,Entsch,Enterolobium,schomburgkii (Benth.) Benth.,Mimosoideae,,0.72,40,1,B,6,288,16,O,5,i04,2010,25,25,56.5,v,01_09_2004,NQ,,,,,NQ,5,v,,,,,,08_09_2005,5,v,,,,,,,,14_08_2006,,5,v,,18_07_2007,,5,46,70,p,,13_09_2007,60.9,4,v,,07_08_2008,1,v,,0,0,,,,10_09_2009,,05_08_2009,,0,m,m,08_07_2010,,0,m,morta,07_09_2011,,0,m,morta,12_08_2012,,0,m,m,29_07_2014,,0,m,,29_09_2016,,0,m,,16_07_2018,,m,0,,,01_08_2022,,,0,m,,23_06_2024,
5227,,morototo,Schmor,Didymopanax,morototoni (Aubl.) Decne. & Planch.,Araliaceae,,0.44,40,1,B,6,299,16,L,7,i04,2014,23,23,52.7,v,01_09_2004,20,0.2,,20,20,,5,v,,,,,,08_09_2005,5,v,,,,,,,,14_08_2006,,5,v,,18_07_2007,,5,87,90,p,,13_09_2007,56.3,5,v,,07_08_2008,5,v,,0,0,,,,10_09_2009,,05_08_2009,58.8,5,v,,08_07_2010,60.1,5,v,,07_09_2011,61.4,5,v,,12_08_2012,,0,m,m,29_07_2014,,0,m,,29_09_2016,,0,m,,16_07_2018,,m,0,,,01_08_2022,,,0,m,,23_06_2024,
5229,,cuiarana,Tertet,Terminalia,tetraphylla (Aublet) Howard,Combretaceae,,0.72,40,1,B,7,320,16,O,7,i04,2004,8,8,46.6,m,01_09_2004,10,1,,10,100,,0,m,,,,,,08_09_2005,0,m,,,,,,,,14_08_2006,,0,m,,18_07_2007,,0,250,50,p,cq,13_09_2007,,0,m,morta,07_08_2008,0,m,,0,0,,,,10_09_2009,,05_08_2009,,0,m,m,08_07_2010,,0,m,morta,07_09_2011,,0,m,,12_08_2012,,0,m,m,29_07_2014,,0,m,,29_09_2016,,0,m,,16_07_2018,,m,0,,,01_08_2022,,,0,m,,23_06_2024,
5230,,cuiarana,Tertet,Terminalia,tetraphylla (Aublet) Howard,Combretaceae,,0.72,40,1,B,7,340,16,O,11,i04,2011,26,26,114.9,v,01_09_2004,30,0.1,,30,10,,5,v,cr,,,,,08_09_2005,4,v,CQ,,,,,,,14_08_2006,,4,v,,18_07_2007,,5,80,10,p,,13_09_2007,113.8,4,v,cq,07_08_2008,3,v,cq,0,0,,,,10_09_2009,,05_08_2009,114.4,4,v,cq/cr,08_07_2010,,0,m,morta,07_09_2011,,0,m,morta,12_08_2012,,0,m,m,29_07_2014,,0,m,,29_09_2016,,0,m,,16_07_2018,,m,0,,,01_08_2022,,,0,m,,23_06_2024,
5231,,carapanauba,Aspexc,Aspidosperma,excelsum Benth.,Apocynaceae,,0.79,40,1,B,7,348,16,O,23,i04,2016,32,32,64.4,v,01_09_2004,10,0.15,,10,15,,5,v,,,,,,08_09_2005,5,v,,,,,,,,14_08_2006,,5,v,,18_07_2007,,5,75,90,p,,13_09_2007,68.7,5,v,,07_08_2008,5,v,,0,0,,,,10_09_2009,,05_08_2009,70.5,5,v,,08_07_2010,70.5,5,v,,07_09_2011,69.9,5,v,,12_08_2012,70,4,v,,29_07_2014,,0,m,morta tombada,29_09_2016,,0,m,,16_07_2018,,m,0,,,01_08_2022,,,0,m,,23_06_2024,
5232,,breu_sucuruba,Trarho,Trattinnickia,rhoifolia Willd.,Burseraceae,,0.45,40,1,B,7,343,16,L,14,i04,,25,25,63.5,v,01_09_2004,15,0.2,,15,20,,4,v,,,,,,08_09_2005,4,v,,,,,,,,14_08_2006,,4,v,,18_07_2007,,5,20,10,p,,13_09_2007,64.9,3,v,,07_08_2008,3,v,,0,0,,,,10_09_2009,,05_08_2009,67.7,5,v,,08_07_2010,67.7,5,v,,07_09_2011,68.7,4,v,,12_08_2012,71.4,5,v,,29_07_2014,73.3,4,v,,29_09_2016,74.1,4,v,,16_07_2018,75.9,v,5,,,15_08_2022,Bate_Luis_Ebis,76.4,4,v,,24_06_2024,Santarem_Nathalia_Maraca
5233,,breu_sucuruba,Trarho,Trattinnickia,rhoifolia Willd.,Burseraceae,,0.45,40,1,B,7,346,16,L,25,i04,2014,24,24,63.5,v,01_09_2004,45,0.55,,45,55,,4,v,,,,,,08_09_2005,4,v,,,,,,,,14_08_2006,,4,v,,18_07_2007,,5,110,100,p,,13_09_2007,64.4,3,v,,07_08_2008,4,v,,1,0.5,,,,10_09_2009,,05_08_2009,66.1,4,v,,08_07_2010,68,3,v,,07_09_2011,62.6,2,v,cicatriz,12_08_2012,,0,m,m,29_07_2014,,0,m,,29_09_2016,,0,m,,16_07_2018,,m,0,,,01_08_2022,,,0,m,,23_06_2024,
5234,,mangabinha,Micege,Micropholis,egensis (A. DC.) Pierre,Sapotaceae,,0.6,40,1,B,8,360,16,O,20,i04,2010,18,18,42.1,v,01_09_2004,NQ,,,,,NQ,5,v,,,,,,08_09_2005,4,v,,,,,,,,14_08_2006,,5,v,,18_07_2007,,5,10,10,p,,13_09_2007,42.8,4,v,,07_08_2008,4,v,,0,0,,,,10_09_2009,,05_08_2009,,0,m,m/pr,08_07_2010,,0,m,morta,07_09_2011,,0,m,morta,12_08_2012,,0,m,m,29_07_2014,,0,m,,29_09_2016,,0,m,,16_07_2018,,m,0,,,01_08_2022,,,0,m,,23_06_2024,
5235,,breu_sucuruba,Trarho,Trattinnickia,rhoifolia Willd.,Burseraceae,,0.45,40,1,B,8,365,16,O,23,i04,2014,34,34,71.5,v,01_09_2004,NQ,,,,,NQ,5,v,,,,,,08_09_2005,5,v,,,,,,,,14_08_2006,,5,v,,18_07_2007,,5,0,0,p,,13_09_2007,72.7,4,v,,07_08_2008,2,v,,0,0,,,,10_09_2009,,05_08_2009,74,5,v,,08_07_2010,74.8,5,v,,07_09_2011,75.7,5,v,,12_08_2012,,0,m,m,29_07_2014,,0,m,,29_09_2016,,0,m,,16_07_2018,,m,0,,,01_08_2022,,,0,m,,23_06_2024,
