placa,old_tag,nomecomum,codigo,genero,especie,familia,subfamilia,densidade,inv,area,parcela,quadra,nsdist,linha,lo,lodist,recruit,data_morta,altura,altura_1,dap.04,mv.04,data04,am_f4.x,pq_f4.x,obs.04,am_f4.y,pq_f4.y,obs_cic4,c.05,mv.05,obs.05,am_f5,pq_f5,obs_cic5,data_cic5,data05,c.06,mv.06,obs.06,am_f6,pq_f6,obs_cic6,obs_m066,data_cic6,data_m066,data06,dap.07,c.07,mv.07,obs.07,data07,nova_placa.07,c07p,am_f7,pq_f7,caidape_c07p,obs_c07p,data_c07p,dap.08,c.08,mv.08,obs.08,data08,c.09,mv.09,obs_c09,cicat.09,Rec.09,am_f9,pq_f9,obs_cic9,data_cic9,qt_f9,data09,dap.10,c.10,mv.10,obs.10,data10,dap.11,c.11,mv.11,obs.11,data11,dap.12,c.12,mv.12,obs.12,data12,dap.14,c.14,mv.14,obs.14,data14,dap.16,c.16,mv.16,obs.16,data16,dap.18,c.18,mv.18,obs.18,data18,dap.22,mv.22,c.22,obs.22,alt22,data22,equipe.22,dap.24,c.24,mv.24,obs.24,data24,equipe.24
6084,,breu_aroeira,Dacmic,Dacryodes,microcarpa Cuart.,Burseraceae,,0.511666667,40,1,A,3,107,7,L,11,i04,2024,21,21,47,v,20_09_2004,,,,,,,4,v,,,,,,09_09_2005,4,v,CQ/CR,,,,,,6/20/06,08_08_2006,,3,v,,12_07_2007,,,,,,,,46.9,2,v,,19_08_2008,4,v,cq/cr,,,,,,,,06_08_2009,46.4,4,v,cq,06_07_2010,47,2,v,,31_08_2011,46.8,1,v,cqcr,12_08_2012,46.7,1,v,cq,29_07_2014,46.2,2,v,toco,12_07_2016,45.5,2,v,,16_07_2018,42,v,1,cqr,,26_07_2022,Ebis_Bate_Darlisson,,0,m,morta,24_06_2024,Ebis_Sebastiao
6771,,cuiarana,Tertet,Terminalia,tetraphylla (Aublet) Howard,Combretaceae,,0.72,40,1,A,1,4,6,O,10,i04,,28,28,69.2,v,20_09_2004,,,,,,,4,v,,,,,,08_09_2005,5,v,,,,,,,,08_08_2006,,5,v,,12_07_2007,,,,,,,,70.4,5,v,,18_08_2008,2,v,,,,,,,,,06_08_2009,70.3,5,v,,06_07_2010,70.3,4,v,,30_08_2011,71.7,3,v,,12_08_2012,71.1,1,v,cq,29_07_2014,71,3,v,,12_07_2016,71.4,3,v,cqcr,16_07_2018,71.5,v,5,,,22_07_2022,Ebis_Sanarem_Bate,72.1,4,v,cqcr,21_06_2024,Sebastiao_Ebis_Darlisson
6772,,breu_sucurubinha,Tragla,Trattinnickia,glaziovii Swart.,Burseraceae,,0.52,40,1,A,1,47,6,L,4,i04,,22,22,61.7,v,20_09_2004,,,,,,,5,v,,,,,,08_09_2005,3,v,,,,,,,,08_08_2006,,4,v,,12_07_2007,,,,,,,,62,4,v,,18_08_2008,5,v,,,,,,,,,06_08_2009,61.9,5,v,,06_07_2010,61.9,5,v,,30_08_2011,62.7,5,v,,12_08_2012,62.8,3,v,cq,29_07_2014,64,4,v,,12_07_2016,64,4,v,,16_07_2018,65,v,4,,,22_07_2022,Ebis_Sanarem_Bate,64.9,5,v,,21_06_2024,Sebastiao_Ebis_Darlisson
6773,,carapanauba,Aspexc,Aspidosperma,excelsum Benth.,Apocynaceae,,0.79,40,1,A,2,55,6,L,13,i04,,29,29,93.9,v,20_09_2004,,,,,,,5,v,,,,,,08_09_2005,5,v,,,,,,,,08_08_2006,,5,v,,12_07_2007,,,,,,,,97.4,5,v,,18_08_2008,5,v,,,,,,,,,06_08_2009,99,5,v,,06_07_2010,99.4,5,v,,30_08_2011,99.8,5,v,,12_08_2012,97.8,3,v,cq,29_07_2014,99.5,4,v,,12_07_2016,99.5,5,v,,16_07_2018,101,v,4,,,22_07_2022,Ebis_Sanarem_Bate,102,5,v,,21_06_2024,Sebastiao_Ebis_Darlisson
6774,,louro_abacate,Ocoacu,Ocotea,leucoxylon (Sw.) Laness.,Lauraceae,,0.543571429,40,1,A,2,60,6,O,7,i04,,26,26,56.7,v,20_09_2004,,,,,,,3,v,cq,,,,,08_09_2005,4,v,,,,,,,,08_08_2006,,4,v,,12_07_2007,,,,,,,,56.9,4,v,,18_08_2008,4,v,,,,,,,,,06_08_2009,57.3,4,v,,06_07_2010,57.5,5,v,,30_08_2011,57.3,3,v,,12_08_2012,57.6,4,v,,29_07_2014,57.2,2,v,cqcr,12_07_2016,58.1,4,v,,16_07_2018,58.5,v,4,,,22_07_2022,Ebis_Sanarem_Bate,58.3,3,v,,21_06_2024,Sebastiao_Ebis_Darlisson
6775,,carapanauba,Aspexc,Aspidosperma,excelsum Benth.,Apocynaceae,,0.79,40,1,A,2,85,6,O,12,i04,,29,29,48.4,v,20_09_2004,,,,,,,5,v,,,,,,08_09_2005,5,v,,,,,,,,08_08_2006,,5,v,,12_07_2007,,,,,,,,50.4,4,v,,18_08_2008,5,v,,,,,,,,,06_08_2009,52.8,5,v,,06_07_2010,53,5,v,,30_08_2011,53.4,5,v,,12_08_2012,53.5,4,v,,29_07_2014,54.1,1,v,cqcr,12_07_2016,54,3,v,cqcr,16_07_2018,53.9,v,5,,,22_07_2022,Ebis_Sanarem_Bate,53.9,5,v,,21_06_2024,Sebastiao_Ebis_Darlisson
6776,,carapanauba,Aspexc,Aspidosperma,excelsum Benth.,Apocynaceae,,0.79,40,1,A,3,118,6,L,0.5,i04,,25,25,43.9,v,20_09_2004,,,,,,,4,v,,,,,,08_09_2005,4,v,,,,,,,,08_08_2006,,4,v,,12_07_2007,,,,,,,,46.5,4,v,,18_08_2008,5,v,,,,,,,,,06_08_2009,46.9,4,v,,06_07_2010,47.4,4,v,,30_08_2011,48.5,5,v,,12_08_2012,48.5,3,v,,29_07_2014,50,4,v,0.50 cm leste,12_07_2016,50.9,4,v,,16_07_2018,53.9,v,2,,,22_07_2022,Ebis_Sanarem_Bate,54.5,5,v,,21_06_2024,Sebastiao_Ebis_Darlisson
6777,,carapanauba,Aspexc,Aspidosperma,excelsum Benth.,Apocynaceae,,0.79,40,1,A,3,124,6,O,25,i04,,29,29,59.2,v,20_09_2004,,,,,,,5,v,,,,,,08_09_2005,5,v,,,,,,,,08_08_2006,,5,v,,12_07_2007,,,,,,,,62.7,5,v,,18_08_2008,5,v,,,,,,,,,06_08_2009,64.8,5,v,,06_07_2010,65.6,5,v,,30_08_2011,65.7,5,v,,12_08_2012,65.9,2,v,cq,29_07_2014,66.5,2,v,,12_07_2016,66,2,v,dap correto cqcr,16_07_2018,66.1,v,3,,,22_07_2022,Ebis_Sanarem_Bate,66.6,4,v,,21_06_2024,Sebastiao_Ebis_Darlisson
6778,,carapanauba,Aspexc,Aspidosperma,excelsum Benth.,Apocynaceae,,0.79,40,1,A,3,132,6,O,12,i04,2014,27,27,54,v,20_09_2004,,,,,,,4,v,,,,,,08_09_2005,3,v,CQ,,,,,,,08_08_2006,,3,v,,12_07_2007,,,,,,,,54.8,1,v,cq,18_08_2008,3,v,,,,,,,,,06_08_2009,54.4,4,v,,06_07_2010,54.5,4,v,,30_08_2011,54.6,4,v,,12_08_2012,,0,m,m,29_07_2014,,0,m,,12_07_2016,,0,m,,16_07_2018,,m,0,,,01_08_2022,,,0,m,,23_06_2024,
6779,,breu_sucuruba_branco,Trabur,Trattinnickia,burseraefolia Mart.,Burseraceae,,0.46,40,1,A,3,130,6,O,1,i04,,29,29,51.6,v,20_09_2004,,,,,,,5,v,,,,,,08_09_2005,4,v,,,,,,,,08_08_2006,,5,v,,12_07_2007,,,,,,,,52.1,4,v,,18_08_2008,5,v,,,,,,,,,06_08_2009,53.5,5,v,,06_07_2010,53.5,4,v,,30_08_2011,53,5,v,,12_08_2012,54.6,4,v,,29_07_2014,55.7,5,v,,12_07_2016,56,5,v,,16_07_2018,58.8,v,5,,,22_07_2022,Ebis_Sanarem_Bate,59,5,v,,21_06_2024,Sebastiao_Ebis_Darlisson
6780,,breu_sucurubinha,Tragla,Trattinnickia,glaziovii Swart.,Burseraceae,,0.52,40,1,A,3,123,6,L,4,i04,2022,20,20,42.8,v,20_09_2004,,,,,,,4,v,,,,,,08_09_2005,3,v,,,,,,,,08_08_2006,,4,v,,12_07_2007,,,,,,,,42.7,5,v,,18_08_2008,4,v,,,,,,,,,06_08_2009,42.9,3,v,,06_07_2010,42.8,1,v,,30_08_2011,42.8,5,v,,12_08_2012,42.4,2,v,,29_07_2014,42.4,5,v,,12_07_2016,42.3,2,v,,16_07_2018,,m,0,morto,,22_07_2022,Ebis_Sanarem_Bate,,0,m,,23_06_2024,
6781,,morototo,Schmor,Didymopanax,morototoni (Aubl.) Decne. & Planch.,Araliaceae,,0.44,40,1,A,3,127,6,L,7,i04,2018,25,25,49.4,v,20_09_2004,,,,,,,5,v,,,,,,08_09_2005,4,v,,,,,,,,08_08_2006,,5,v,,12_07_2007,,,,,,,,50,5,v,,18_08_2008,5,v,,,,,,,,,06_08_2009,50.4,5,v,,06_07_2010,50.4,5,v,,30_08_2011,50.6,5,v,,12_08_2012,50.9,3,v,,29_07_2014,51.4,5,v,,12_07_2016,,0,m,morta,16_07_2018,,m,0,,,01_08_2022,,,0,m,,23_06_2024,
6782,,breu_sucuruba_branco,Trabur,Trattinnickia,burseraefolia Mart.,Burseraceae,,0.46,40,1,A,3,130,6,L,7,i04,,30,30,65.9,v,20_09_2004,,,,,,,5,v,,,,,,08_09_2005,4,v,,,,,,,,08_08_2006,,5,v,,12_07_2007,,,,,,,,66.8,5,v,,18_08_2008,5,v,,,,,,,,,06_08_2009,68,5,v,,06_07_2010,68,5,v,,30_08_2011,67.8,5,v,,12_08_2012,67.7,4,v,,29_07_2014,68.7,5,v,,12_07_2016,69.7,5,v,,16_07_2018,70.6,v,5,,,22_07_2022,Ebis_Sanarem_Bate,70,5,v,,21_06_2024,Sebastiao_Ebis_Darlisson
6783,,carapanauba,Aspexc,Aspidosperma,excelsum Benth.,Apocynaceae,,0.79,40,1,A,3,131,6,L,20,i04,,29,29,61.5,v,20_09_2004,,,,,,,4,v,,,,,,08_09_2005,4,v,,,,,,,,08_08_2006,,5,v,,12_07_2007,,,,,,,,62.6,5,v,,18_08_2008,5,v,,,,,,,,,06_08_2009,63.1,5,v,,06_07_2010,63,5,v,,30_08_2011,62.9,5,v,,12_08_2012,63.6,5,v,,29_07_2014,63.2,5,v,,12_07_2016,65.1,5,v,,16_07_2018,65.5,v,5,,,22_07_2022,Ebis_Sanarem_Bate,67,5,v,,21_06_2024,Sebastiao_Ebis_Darlisson
6784,,breu_sucurubinha,Tragla,Trattinnickia,glaziovii Swart.,Burseraceae,,0.52,40,1,A,3,142,6,L,2,i04,2009,28,28,40.8,v,20_09_2004,,,,,,,3,v,,,,,,08_09_2005,2,v,,,,,,,,08_08_2006,,2,v,,12_07_2007,,,,,,,,40.3,2,v,,18_08_2008,0,m,morta,,,,,,,,06_08_2009,,0,m,m,06_07_2010,,0,m,morta,30_08_2011,,0,m,morta,12_08_2012,,0,m,m,29_07_2014,,0,m,,12_07_2016,,0,m,,16_07_2018,,m,0,,,01_08_2022,,,0,m,,23_06_2024,
6785,,carapanauba,Aspexc,Aspidosperma,excelsum Benth.,Apocynaceae,,0.79,40,1,A,3,145,6,O,3,i04,2006,5,5,66.7,v,20_09_2004,,,,,,,4,v,cq_cr,,,,,08_09_2005,0,m,,,,,,,,08_08_2006,,0,m,,12_07_2007,,,,,,,,,0,m,,18_08_2008,0,m,,,,,,,,,06_08_2009,,0,m,m,06_07_2010,,0,m,morta,30_08_2011,,0,m,morta,12_08_2012,,0,m,m,29_07_2014,,0,m,,12_07_2016,,0,m,,16_07_2018,,m,0,,,01_08_2022,,,0,m,,23_06_2024,
6786,,carapanauba,Aspexc,Aspidosperma,excelsum Benth.,Apocynaceae,,0.79,40,1,A,3,145,6,O,21,i04,,29,29,51.7,v,20_09_2004,,,,,,,4,v,,,,,,08_09_2005,5,v,,,,,,,,08_08_2006,,5,v,,12_07_2007,,,,,,,,53.9,4,v,,18_08_2008,5,v,,,,,,,,,06_08_2009,54.9,5,v,,06_07_2010,55.4,5,v,,30_08_2011,55.8,5,v,,12_08_2012,56.9,5,v,,29_07_2014,58.4,4,v,,12_07_2016,59.5,5,v,,16_07_2018,60.1,v,5,,,22_07_2022,Ebis_Sanarem_Bate,60.2,5,v,,21_06_2024,Sebastiao_Ebis_Darlisson
6787,,carapanauba,Aspexc,Aspidosperma,excelsum Benth.,Apocynaceae,,0.79,40,1,A,3,148,6,O,22,i04,,27,27,41.5,v,20_09_2004,,,,,,,5,v,,,,,,08_09_2005,5,v,,,,,,,,08_08_2006,,5,v,,12_07_2007,,,,,,,,44,4,v,,18_08_2008,5,v,,,,,,,,,06_08_2009,46,5,v,,06_07_2010,46.5,5,v,,30_08_2011,47.1,5,v,,12_08_2012,48.4,5,v,,29_07_2014,50.9,5,v,,12_07_2016,52,5,v,,16_07_2018,56.4,v,5,,,22_07_2022,Ebis_Sanarem_Bate,57.3,5,v,,21_06_2024,Sebastiao_Ebis_Darlisson
6788,,carapanauba,Aspexc,Aspidosperma,excelsum Benth.,Apocynaceae,,0.79,40,1,A,3,147,6,O,12,i04,,23,23,42.4,v,20_09_2004,,,,,,,4,v,,,,,,08_09_2005,5,v,,,,,,,,08_08_2006,,5,v,,12_07_2007,,,,,,,,44.4,4,v,,18_08_2008,5,v,,,,,,,,,06_08_2009,45,5,v,,06_07_2010,45.5,4,v,,30_08_2011,46.2,5,v,,12_08_2012,47.9,5,v,,29_07_2014,49.8,5,v,,12_07_2016,50.3,5,v,,16_07_2018,51.8,v,5,,,22_07_2022,Ebis_Sanarem_Bate,52.7,4,v,,21_06_2024,Sebastiao_Ebis_Darlisson
6789,,carapanauba,Aspexc,Aspidosperma,excelsum Benth.,Apocynaceae,,0.79,40,1,A,4,150,6,L,0.1,i04,2022,30,30,52.6,v,20_09_2004,,,,,,,5,v,,,,,,08_09_2005,5,v,,,,,,,,08_08_2006,,5,v,,12_07_2007,,,,,,,,53.5,5,v,,18_08_2008,5,v,,,,,,,,,06_08_2009,54.3,5,v,,06_07_2010,54.4,5,v,,30_08_2011,54.6,5,v,,12_08_2012,55.7,5,v,,29_07_2014,56.3,1,v,0.10 cm leste cqcr,12_07_2016,56.2,2,v,cqcr,16_07_2018,,m,0,morto,,22_07_2022,Ebis_Sanarem_Bate,,0,m,,23_06_2024,
6790,,carapanauba,Aspexc,Aspidosperma,excelsum Benth.,Apocynaceae,,0.79,40,1,A,4,163,6,O,7,i04,,30,30,66.7,v,20_09_2004,,,,,,,5,v,,,,,,08_09_2005,5,v,,,,,,,,08_08_2006,,5,v,,12_07_2007,,,,,,,,68.7,4,v,,18_08_2008,5,v,,,,,,,,,06_08_2009,68.3,5,v,,06_07_2010,68.7,5,v,,30_08_2011,69.3,5,v,,12_08_2012,68.8,4,v,,29_07_2014,70.1,5,v,,12_07_2016,69.7,5,v,,16_07_2018,71.7,v,5,,,22_07_2022,Ebis_Sanarem_Bate,70.5,5,v,,21_06_2024,Sebastiao_Ebis_Darlisson
6791,,carapanauba,Aspexc,Aspidosperma,excelsum Benth.,Apocynaceae,,0.79,40,1,A,4,172,6,O,11,i04,,30,30,63.6,v,20_09_2004,,,,,,,5,v,,,,,,08_09_2005,5,v,,,,,,,,08_08_2006,,5,v,,12_07_2007,,,,,,,,65.6,5,v,,18_08_2008,5,v,,,,,,,,,06_08_2009,66.7,5,v,,06_07_2010,66.6,5,v,,30_08_2011,67,5,v,,12_08_2012,66.5,4,v,,29_07_2014,68.5,5,v,,12_07_2016,69,5,v,,16_07_2018,70.2,v,5,,,22_07_2022,Ebis_Sanarem_Bate,70.6,5,v,,21_06_2024,Sebastiao_Ebis_Darlisson
6792,,louro_abacate,Ocoacu,Ocotea,leucoxylon (Sw.) Laness.,Lauraceae,,0.543571429,40,1,A,4,172,6,O,13,i04,2004,20,20,40.8,m,20_09_2004,,,20m de altura,,,,0,m,,,,,,08_09_2005,0,m,,,,,,,,08_08_2006,,0,m,,12_07_2007,,,,,,,,,0,m,,18_08_2008,0,m,,,,,,,,,06_08_2009,,0,m,m,06_07_2010,,0,m,morta,30_08_2011,,0,m,morta,12_08_2012,,0,m,m,29_07_2014,,0,m,,12_07_2016,,0,m,,16_07_2018,,m,0,,,01_08_2022,,,0,m,,23_06_2024,
6793,,breu_aroeira,Dacmic,Dacryodes,microcarpa Cuart.,Burseraceae,,0.511666667,40,1,A,4,173,6,O,4,i04,,22,22,44.3,v,20_09_2004,,,,,,,4,v,,,,,,08_09_2005,4,v,CR,,,,,,,08_08_2006,,4,v,cr,12_07_2007,,,,,,,,45,4,v,,18_08_2008,4,v,,,,,,,,,06_08_2009,45.5,5,v,,06_07_2010,45.7,4,v,,30_08_2011,46,5,v,,12_08_2012,47,3,v,,29_07_2014,48.1,4,v,,12_07_2016,48.3,4,v,,16_07_2018,50.4,v,2,cqr,,22_07_2022,Ebis_Sanarem_Bate,49.5,5,v,,21_06_2024,Sebastiao_Ebis_Darlisson
6794,,carapanauba,Aspexc,Aspidosperma,excelsum Benth.,Apocynaceae,,0.79,40,1,A,4,165,6,L,9,i04,,29,29,47.8,v,20_09_2004,,,,,,,5,v,,,,,,08_09_2005,5,v,,,,,,,,08_08_2006,,5,v,,12_07_2007,,,,,,,,51.1,3,v,,18_08_2008,5,v,,,,,,,,,06_08_2009,53.1,5,v,,06_07_2010,53.3,4,v,,30_08_2011,54.3,5,v,,12_08_2012,55.3,4,v,,29_07_2014,57.5,5,v,,12_07_2016,59.7,5,v,,16_07_2018,63,v,5,,,22_07_2022,Ebis_Sanarem_Bate,64.2,5,v,,21_06_2024,Sebastiao_Ebis_Darlisson
6795,,louro_abacate,Ocoacu,Ocotea,leucoxylon (Sw.) Laness.,Lauraceae,,0.543571429,40,1,A,4,165,6,L,10,i04,,25,25,40.6,v,20_09_2004,,,,,,,4,v,,,,,,08_09_2005,4,v,,,,,,,,08_08_2006,,4,v,,12_07_2007,,,,,,,,40.5,4,v,,18_08_2008,4,v,,,,,,,,,06_08_2009,40.5,5,v,,06_07_2010,41.1,5,v,,30_08_2011,41.2,5,v,,12_08_2012,41.4,4,v,,29_07_2014,42.3,5,v,,12_07_2016,42.4,4,v,,16_07_2018,42.4,v,4,,,22_07_2022,Ebis_Sanarem_Bate,42.4,4,v,,21_06_2024,Sebastiao_Ebis_Darlisson
6796,,carapanauba,Aspexc,Aspidosperma,excelsum Benth.,Apocynaceae,,0.79,40,1,A,4,169,6,L,12,i04,2016,28,28,49.9,v,20_09_2004,,,,,,,4,v,,,,,,08_09_2005,5,v,,,,,,,,08_08_2006,,5,v,,12_07_2007,,,,,,,,50,4,v,,18_08_2008,4,v,,,,,,,,,06_08_2009,50.4,5,v,,06_07_2010,49.7,3,v,cicatriz,30_08_2011,51.9,5,v,,12_08_2012,47.5,1,v,cq,29_07_2014,,0,m,morta,12_07_2016,,0,m,,16_07_2018,,m,0,,,01_08_2022,,,0,m,,23_06_2024,
6797,,carapanauba,Aspexc,Aspidosperma,excelsum Benth.,Apocynaceae,,0.79,40,1,A,4,171,6,L,20,i04,,25,25,40.6,v,20_09_2004,,,,,,,5,v,,,,,,08_09_2005,4,v,,,,,,,,08_08_2006,,5,v,,12_07_2007,,,,,,,,41.6,4,v,,18_08_2008,5,v,,,,,,,,,06_08_2009,41.9,4,v,,06_07_2010,41.9,4,v,,30_08_2011,42,5,v,,12_08_2012,42.2,4,v,,29_07_2014,42.7,5,v,,12_07_2016,43.4,5,v,,16_07_2018,44.8,v,5,,,22_07_2022,Ebis_Sanarem_Bate,45.3,4,v,,21_06_2024,Sebastiao_Ebis_Darlisson
6798,,carapanauba,Aspexc,Aspidosperma,excelsum Benth.,Apocynaceae,,0.79,40,1,A,4,173,6,L,22,i04,2024,26,26,53.7,v,20_09_2004,,,,,,,5,v,,,,,,08_09_2005,5,v,,,,,,,,08_08_2006,,4,v,,12_07_2007,,,,,,,,55.3,4,v,,18_08_2008,5,v,,,,,,,,,06_08_2009,57,5,v,,06_07_2010,57,5,v,,30_08_2011,57.5,5,v,,12_08_2012,57.3,4,v,,29_07_2014,58.8,5,v,,12_07_2016,58.5,4,v,,16_07_2018,59.1,v,5,,,22_07_2022,Ebis_Sanarem_Bate,,0,m,morta,21_06_2024,Sebastiao_Ebis_Darlisson
6799,,carapanauba,Aspexc,Aspidosperma,excelsum Benth.,Apocynaceae,,0.79,40,1,A,4,158,6,L,25,i04,2018,23,23,46.6,v,20_09_2004,,,,,,,4,v,,,,,,08_09_2005,5,v,,,,,,,,08_08_2006,,5,v,,12_07_2007,,,,,,,,46.7,4,v,,18_08_2008,5,v,,,,,,,,,06_08_2009,47,4,v,,06_07_2010,47,3,v,,30_08_2011,47,5,v,,12_08_2012,46.7,4,v,,29_07_2014,46.7,5,v,,12_07_2016,,0,m,morta,16_07_2018,,m,0,,,01_08_2022,,,0,m,,23_06_2024,
6800,,macarandubinha,Pouram,Pouteria,ramiflora (Mart.) Radlk,Sapotaceae,,0.775625,40,1,A,4,188,6,L,25,i04,2008,23,23,50.2,v,20_09_2004,,,,,,,5,v,,,,,,08_09_2005,3,v,,,,,,,,08_08_2006,,2,v,,12_07_2007,,,,,,,,,0,m,,18_08_2008,0,m,,,,,,,,,06_08_2009,,0,m,m,06_07_2010,,0,m,morta,30_08_2011,,0,m,morta,12_08_2012,,0,m,m,29_07_2014,,0,m,,12_07_2016,,0,m,,16_07_2018,,m,0,,,01_08_2022,,,0,m,,23_06_2024,
6801,,carapanauba,Aspexc,Aspidosperma,excelsum Benth.,Apocynaceae,,0.79,40,1,A,4,195,6,L,22,i04,,23,23,47.6,v,20_09_2004,,,,,,,5,v,,,,,,08_09_2005,5,v,,,,,,,,08_08_2006,,4,v,,12_07_2007,,,,,,,,49.2,3,v,,18_08_2008,5,v,,,,,,,,,06_08_2009,51.4,5,v,,06_07_2010,51.4,5,v,,30_08_2011,50.7,5,v,,12_08_2012,51.1,4,v,,29_07_2014,51.7,5,v,,12_07_2016,52.3,5,v,,16_07_2018,53.3,v,5,,,22_07_2022,Ebis_Sanarem_Bate,54,5,v,,21_06_2024,Sebastiao_Ebis_Darlisson
6802,,carapanauba,Aspexc,Aspidosperma,excelsum Benth.,Apocynaceae,,0.79,40,1,A,4,196,6,O,1,i04,,25,25,46.2,v,20_09_2004,,,,,,,1,v,,,,,,08_09_2005,2,v,CR,,,,,,,08_08_2006,,1,v,cq,12_07_2007,,,,,,,,47.7,1,v,cq/cr,18_08_2008,2,v,cq/cr,,,,,,,,06_08_2009,46.5,4,v,cq/cr,06_07_2010,46.3,3,v,,30_08_2011,46.4,1,v,,12_08_2012,46.4,3,v,cq,29_07_2014,46,3,v,,12_07_2016,46.3,4,v,,16_07_2018,46.5,v,3,lado oeste,,22_07_2022,Ebis_Sanarem_Bate,46.2,2,v,,21_06_2024,Sebastiao_Ebis_Darlisson
6803,,carapanauba,Aspexc,Aspidosperma,excelsum Benth.,Apocynaceae,,0.79,40,1,A,4,180,6,O,18,i04,,30,30,62.9,v,20_09_2004,,,,,,,5,v,,,,,,08_09_2005,5,v,,,,,,,,08_08_2006,,5,v,,12_07_2007,,,,,,,,62.1,4,v,,18_08_2008,5,v,,,,,,,,,06_08_2009,63.4,4,v,,06_07_2010,63.6,5,v,,30_08_2011,63.7,4,v,,12_08_2012,63.4,3,v,,29_07_2014,64,4,v,,12_07_2016,64.5,4,v,,16_07_2018,64,v,5,,,22_07_2022,Ebis_Sanarem_Bate,64.9,4,v,,21_06_2024,Sebastiao_Ebis_Darlisson
6804,,carapanauba,Aspexc,Aspidosperma,excelsum Benth.,Apocynaceae,,0.79,40,1,A,5,203,6,O,19,i04,,33,33,69.5,v,20_09_2004,,,,,,,4,v,,,,,,08_09_2005,5,v,,,,,,,,08_08_2006,,5,v,,12_07_2007,,,,,,,,70.4,4,v,,18_08_2008,5,v,,,,,,,,,06_08_2009,70.7,5,v,,06_07_2010,70.7,5,v,,30_08_2011,70.8,5,v,,12_08_2012,70.7,4,v,,29_07_2014,70.8,5,v,,12_07_2016,70.9,5,v,,16_07_2018,70.8,v,5,,,22_07_2022,Ebis_Sanarem_Bate,70.8,3,v,,21_06_2024,Sebastiao_Ebis_Darlisson
6805,,breu_sucurubinha,Tragla,Trattinnickia,glaziovii Swart.,Burseraceae,,0.52,40,1,A,5,210,6,O,10,i04,,28,28,49.1,v,20_09_2004,,,,,,,4,v,,,,,,08_09_2005,4,v,,,,,,,,08_08_2006,,3,v,,12_07_2007,,,,,,,,49,4,v,,18_08_2008,4,v,,,,,,,,,06_08_2009,49.3,4,v,,06_07_2010,49.3,4,v,,30_08_2011,48.8,4,v,,12_08_2012,48.8,3,v,,29_07_2014,49,5,v,,12_07_2016,48.9,5,v,,16_07_2018,48.8,v,5,,,22_07_2022,Ebis_Sanarem_Bate,48.6,5,v,,21_06_2024,Sebastiao_Ebis_Darlisson
6806,,breu_sucuruba_branco,Trabur,Trattinnickia,burseraefolia Mart.,Burseraceae,,0.46,40,1,A,5,210,6,O,1,i04,,30,30,51.9,v,20_09_2004,,,,,,,5,v,,,,,,08_09_2005,5,v,,,,,,,,08_08_2006,,5,v,cq,12_07_2007,,,,,,,,55.4,5,v,,18_08_2008,5,v,,,,,,,,,06_08_2009,56.9,5,v,,06_07_2010,57.1,5,v,,30_08_2011,57.6,5,v,,12_08_2012,58.4,5,v,,29_07_2014,60.9,5,v,,12_07_2016,62,5,v,,16_07_2018,63.5,v,4,,,22_07_2022,Ebis_Sanarem_Bate,62.8,3,v,,21_06_2024,Sebastiao_Ebis_Darlisson
6808,,breu_sucuruba_branco,Trabur,Trattinnickia,burseraefolia Mart.,Burseraceae,,0.46,40,1,A,5,209,6,L,23,i04,,29,29,57.5,v,20_09_2004,,,,,,,5,v,,,,,,08_09_2005,5,v,,,,,,,,08_08_2006,,5,v,,12_07_2007,,,,,,,,61.8,5,v,,18_08_2008,4,v,,,,,,,,,06_08_2009,62.5,5,v,,06_07_2010,62.5,5,v,,30_08_2011,63.2,5,v,,12_08_2012,63.7,3,v,,29_07_2014,64.3,5,v,23m leste,12_07_2016,65,5,v,,16_07_2018,65.7,v,5,,,22_07_2022,Ebis_Sanarem_Bate,65.5,4,v,,21_06_2024,Sebastiao_Ebis_Darlisson
6809,,carapanauba,Aspexc,Aspidosperma,excelsum Benth.,Apocynaceae,,0.79,40,1,A,5,223,6,L,13,i04,2022,28,28,73,v,20_09_2004,,,,,,,5,v,,,,,,08_09_2005,5,v,,,,,,,,08_08_2006,,4,v,,12_07_2007,,,,,,,,74.4,5,v,,18_08_2008,5,v,,,,,,,,,06_08_2009,80.8,5,v,,06_07_2010,78,5,v,,30_08_2011,80.8,5,v,,12_08_2012,80.3,3,v,cq,29_07_2014,80.6,2,v,,12_07_2016,74,3,v,dap correto cqcr,16_07_2018,,m,0,morto,,22_07_2022,Ebis_Sanarem_Bate,,0,m,,23_06_2024,
6810,,carapanauba,Aspexc,Aspidosperma,excelsum Benth.,Apocynaceae,,0.79,40,1,A,5,228,6,O,7,i04,,28,28,47.2,v,20_09_2004,,,,,,,5,v,,,,,,08_09_2005,5,v,,,,,,,,08_08_2006,,5,v,,12_07_2007,,,,,,,,49.2,4,v,,18_08_2008,5,v,,,,,,,,,06_08_2009,51.4,4,v,,06_07_2010,51.4,3,v,,30_08_2011,50.6,5,v,,12_08_2012,51.8,5,v,,29_07_2014,54.9,4,v,,12_07_2016,54.7,5,v,,16_07_2018,57.1,v,5,,,22_07_2022,Ebis_Sanarem_Bate,57.2,4,v,,21_06_2024,Sebastiao_Ebis_Darlisson
