placa,old_tag,nomecomum,codigo,genero,especie,familia,subfamilia,densidade,inv,area,parcela,quadra,nsdist,ns,transecto,metragem,recruit,data_morta,ind.resgate,altura,altura_1,dap.06,c.06,mv.06,obs.06,data06,dap.08,c.08,mv.08,obs.08,data08,c.09,mv.09,cicat.09,recup.09,obs.09,data09,dap.10,c.10,mv.10,obs.10,data10,dap.11,c.11,mv.11,obs.11,data11,dap.12,c.12,mv.12,obs.12,data12,dap.14,c.14,mv.14,obs.14,data14,dap.16,c.16,mv.16,obs.16,data16,dap.18,c.18,mv.18,obs.18,data18,dap.22,c.22,mv.22,obs.22,alt22,data22,equipe.22,dap.24,c.24,mv.24,obs.24,data24,equipe.24
25958,,sucuba,Himart,Himatanthus,articulatus (Vahl) Woodson,Apocynaceae,,0.554,5a10cm,1,A,10,0.5,S,A,106.4,i10,,resgate10,8,,,,,,,,,,,,,,,,,,11.8,5,v,,19_07_2010,12.5,4,v,,16_08_2011,14.1,5,v,,21_06_2012,15.7,5,v,,12_11_2014,17,5,v,,28_04_2016,17,4,v,,18_06_2018,18,4,v,alt. 8,8,08_06_2022,Bate_Ebis_Leo,18.8,5,v,,29_05_2024,Santarem_Darlisson_Bate_Ebis
25959,,envira_folha_peluda,Xylfru,Xylopia,frutescens Aubl.Var ferruginea R. E. Fries,Annonaceae,,0.59,5a10cm,1,A,12,0.5,S,A,116.1,i10,2012,resgate10,,,,,,,,,,,,,,,,,,,9.9,5,v,,19_07_2010,10.3,3,v,,16_08_2011,,0,m,,21_06_2012,,0,m,morta,12_11_2014,,0,m,morta,28_04_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,0,m,,10_06_2024,
25962,,taquari,Mabfis,Mabea,fistulifera Bth.,Euphorbiaceae,,0.618,5a10cm,1,A,14,0.6,S,A,161,i10,,resgate10,15,,,,,,,,,,,,,,,,,,8.8,4,v,,19_07_2010,10,4,v,,16_08_2011,11.3,4,v,,21_06_2012,14.3,5,v,,12_11_2014,16.3,5,v,,28_04_2016,18,5,v,,18_06_2018,21.1,3,v,"metragem 161, alt. 15",15,08_06_2022,Bate_Ebis_Leo,22.3,4,v,,29_05_2024,Santarem_Darlisson_Bate_Ebis
25963,,breu_folha_peluda,Propil,Protium,pilosissimum Engl.,Burseraceae,,0.71,5a10cm,1,A,14,1.3,S,A,130.1,i10,2014,resgate10,,,,,,,,,,,,,,,,,,,5.7,5,v,,19_07_2010,5.7,2,v,,16_08_2011,6.1,3,v,,21_06_2012,,0,m,morta,12_11_2014,,0,m,morta,28_04_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,0,m,,10_06_2024,
25964,,envira_folha_peluda,Xylfru,Xylopia,frutescens Aubl.Var ferruginea R. E. Fries,Annonaceae,,0.59,5a10cm,1,A,16,1,S,A,152.1,i10,2014,resgate10,,,,,,,,,,,,,,,,,,,8.5,5,v,,19_07_2010,8.9,4,v,,16_08_2011,9.1,4,v,,21_06_2012,,0,m,morta,12_11_2014,,0,m,morta,28_04_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,0,m,,10_06_2024,
25966,,breu_de_uma_folha,Prouni,Protium,unifoliolatum Engl.,Burseraceae,,0.33,5a10cm,1,A,16,2.3,S,A,167.1,i10,2014,resgate10,,,,,,,,,,,,,,,,,,,8.3,5,v,,19_07_2010,8.5,2,v,,16_08_2011,9,2,v,,21_06_2012,,0,m,morta/cr tronco,12_11_2014,,0,m,morta,28_04_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,0,m,,10_06_2024,
25967,,breu_de_uma_folha,Prouni,Protium,unifoliolatum Engl.,Burseraceae,,0.33,5a10cm,1,A,16,0.5,S,A,180,i10,2011,resgate10,,,,,,,,,,,,,,,,,,,6.5,2,v,,19_07_2010,,0,m,,16_08_2011,,0,m,,21_06_2012,,0,m,morta,12_11_2014,,0,m,morta,28_04_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,0,m,,10_06_2024,
25968,,envira_folha_peluda,Xylfru,Xylopia,frutescens Aubl.Var ferruginea R. E. Fries,Annonaceae,,0.59,5a10cm,1,A,16,1,S,A,198.1,i10,,resgate10,9,,,,,,,,,,,,,,,,,,10,5,v,,19_07_2010,10.7,5,v,,16_08_2011,11.1,5,v,,21_06_2012,13,5,v,,12_11_2014,13.5,5,v,,28_04_2016,14.1,5,v,,18_06_2018,15.3,5,v,alt. 9,9,08_06_2022,Bate_Ebis_Leo,15.7,5,v,,29_05_2024,Santarem_Darlisson_Bate_Ebis
25969,,pau_sangue,Conper,Connarus,perrottetii (DC.) Planch.,Connaraceae,,0.45,5a10cm,1,A,18,0.7,S,A,208.8,i10,,resgate10,13,13,,,,,,,,,,,,,,,,,11,5,v,,19_07_2010,11.2,4,v,,16_08_2011,11.8,5,v,,21_06_2012,14,5,v,,12_11_2014,16,5,v,,28_04_2016,18,5,v,alt 13,18_06_2018,21,5,v,,,08_06_2022,Bate_Ebis_Leo,22,5,v,,29_05_2024,Santarem_Darlisson_Bate_Ebis
25970,,breu_de_uma_folha,Prouni,Protium,unifoliolatum Engl.,Burseraceae,,0.33,5a10cm,1,A,18,0.5,S,A,210,i10,,resgate10,7.5,7.5,,,,,,,,,,,,,,,,,10,5,v,,19_07_2010,10.4,5,v,,16_08_2011,10.8,5,v,,21_06_2012,11.5,4,v,,12_11_2014,12.1,5,v,,28_04_2016,12.8,5,v,alt 7.5,18_06_2018,13.6,5,v,,,08_06_2022,Bate_Ebis_Leo,14.5,5,v,,29_05_2024,Santarem_Darlisson_Bate_Ebis
